Date,Bitcoin_Price,Gold_Price
2015-05-01,235.97,113.08
2015-05-08,228.99,113.97
2015-05-15,237.1,117.53
2015-05-22,234.11,115.6
2015-05-29,236.44,114.1
2015-06-05,225.4,112.24
2015-06-12,229.03,113.23
2015-06-19,247.45,115.12
2015-06-26,242.08,112.56
2015-07-03,257.78,111.76
2015-07-10,269,111.49
2015-07-17,285.66,108.65
2015-07-24,276.59,105.35
2015-07-31,290.2,104.93
2015-08-07,277.08,104.65
2015-08-14,267.53,106.85
2015-08-21,235.31,111.13
2015-08-28,225.04,108.7
2015-09-04,227.24,107.49
2015-09-11,238.3,106.16
2015-09-18,232.17,109.21
2015-09-25,229.42,109.81
2015-10-02,238.03,108.99
2015-10-09,243.01,110.87
2015-10-16,254.5,112.49
2015-10-23,267.97,111.5
2015-10-30,314.81,109.3
2015-11-06,408,104.1
2015-11-13,340.81,103.56
2015-11-20,333.66,103.09
2015-11-27,356.33,101.25
2015-12-04,359.08,104.02
2015-12-11,415.15,103.11
2015-12-18,455.47,102.04
2015-12-25,456,103.05
2016-01-01,428.23,101.46
2016-01-08,458.66,105.68
2016-01-15,432.63,104.08
2016-01-22,409.62,105
2016-01-29,394.36,106.9492
2016-02-05,388,112.32
2016-02-12,379.14,118.36
2016-02-19,420.53,117.58
2016-02-26,423.79,117.11
2016-03-04,420.06,120.54
2016-03-11,412.84,119.41
2016-03-18,418.49,119.8
2016-03-25,417.96,116.33
2016-04-01,414.83,116.93
2016-04-08,421.6,118.43
2016-04-15,424.38,117.92
2016-04-22,441.82,117.89
2016-04-29,449.98,123.65
2016-05-06,446.84,123.18
2016-05-13,454.26,121.71
2016-05-20,452.99,119.71
2016-05-27,452.05,115.62
2016-06-03,538.37,118.88
2016-06-10,574.32,121.74
2016-06-17,693.88,123.95
2016-06-24,622.08,126.01
2016-07-01,635.99,128.41
2016-07-08,638.5,130.52
2016-07-15,652.87,126.84
2016-07-22,664,126.35
2016-07-29,655.37,128.98
2016-08-05,577.44,127.55
2016-08-12,591.5,127.4
2016-08-19,570.3,127.97
2016-08-26,578.75,126.05
2016-09-02,571,126.57
2016-09-09,615.33,126.75
2016-09-16,606.72,125.06
2016-09-23,595.46,127.65
2016-09-30,604.13,125.64
2016-10-07,608,119.74
2016-10-14,634.02,119.36
2016-10-21,627.72,120.83
2016-10-28,685,121.58
2016-11-04,741.12,124.39
2016-11-11,714.48,117.1
2016-11-18,739.42,115.15
2016-11-25,735.64,112.61
2016-12-02,742.05,112.14
2016-12-09,767.28,110.4
2016-12-16,777.09,108.05
2016-12-23,860.18,107.93
2016-12-30,975.89,109.61
2017-01-06,999.65,111.75
2017-01-13,780.92,114.21
2017-01-20,903.1,115.05
2017-01-27,893.14,113.49
2017-02-03,1008.67,116.13
2017-02-10,1050.7,117.6
2017-02-17,1035.2,117.68
2017-02-24,1130.01,119.7
2017-03-03,1257.6,117.51
2017-03-10,1155.11,114.72
2017-03-17,1170.2,116.99
2017-03-24,1030.2,118.86
2017-03-31,1034.74,118.72
2017-04-07,1133.53,119.46
2017-04-14,1174.43,122.6
2017-04-21,1205,122.31
2017-04-28,1330.33,120.77
2017-05-05,1501,117.01
2017-05-12,1829,116.83
2017-05-19,1783.98,119.4
2017-05-26,2277.01,120.54
2017-06-02,2298.01,121.61
2017-06-09,2809.01,120.54
2017-06-16,2445,119.34
2017-06-23,2713.48,119.43
2017-06-30,2558.3,118.02
2017-07-07,2599.67,115.28
2017-07-14,2388,116.77
2017-07-21,2840,119.26
2017-07-28,2516.93,120.69
2017-08-04,2790,119.65
2017-08-11,3340.28,122.79
2017-08-18,4279.79,122.3
2017-08-25,4133.67,122.74
2017-09-01,4732.87,126.06
2017-09-08,4612.12,127.97
2017-09-15,3216.43,125.53
2017-09-22,3894.48,123.24
2017-09-29,4189.38,121.58
2017-10-06,4211.55,121.09
2017-10-13,5435.75,123.82
2017-10-20,5571.92,121.61
2017-10-27,5889.82,120.9
2017-11-03,6751.98,120.62
2017-11-10,7092.42,121.13
2017-11-17,7279.78,122.86
2017-11-24,8043.31,122.32
2017-12-01,9646.35,121.59
2017-12-08,16860.88,118.48
2017-12-15,16252.31,119.18
2017-12-22,15521.07,120.94
2017-12-29,15422.19,123.65
2018-01-05,15169.66,125.33
2018-01-12,14882.86,126.96
2018-01-19,11174.82,126.42
2018-01-26,11392.03,128.07
2018-02-02,9098.27,126.39
2018-02-09,7585.17,124.77
2018-02-16,10033.77,127.96
2018-02-23,10485.78,126.14
2018-03-02,10931.12,125.39
2018-03-09,9920.46,125.54
2018-03-16,8263.34,124.6
2018-03-23,8909.26,127.61
2018-03-30,7099.17,125.79
2018-04-06,6810.71,126.39
2018-04-13,7941.46,127.45
2018-04-20,8175.96,126.63
2018-04-27,9294.67,125.5
2018-05-04,9220.76,124.54
2018-05-11,9015.88,125
2018-05-18,8343.27,122.41
2018-05-25,7576.78,123.21
2018-06-01,7386.72,122.49
2018-06-08,7687.37,123.01
2018-06-15,6299.89,121.34
2018-06-22,6719.79,120.34
2018-06-29,6143.97,118.65
2018-07-06,6555.51,118.86
2018-07-13,6403.18,117.61
2018-07-20,7473.9,116.56
2018-07-27,8171.65,115.83
2018-08-03,7535.88,114.92
2018-08-10,6277.59,114.69
2018-08-17,6312.75,112.13
2018-08-24,6354.57,114.16
2018-08-31,6986.54,113.51
2018-09-07,6695.32,113.23
2018-09-14,6479.6,113.02
2018-09-21,6389.3,113.49
2018-09-28,6686.08,112.76
2018-10-05,6483.73,113.8
2018-10-12,6207.79,115.23
2018-10-19,6595.51,116.01
2018-10-26,6466.29,116.77
2018-11-02,6338.78,116.65
2018-11-09,6444.97,114.48
2018-11-16,5756.77,115.62
2018-11-23,4312.31,115.77
2018-11-30,4256.55,115.54
2018-12-07,3484.94,118.09
2018-12-14,3487.73,117.06
2018-12-21,4135.19,118.72
2018-12-28,3848.21,121.06
2019-01-04,3822.87,121.44
2019-01-11,4016.92,121.8
2019-01-18,3658.41,121.02
2019-01-25,3566.4,122.86
2019-02-01,3444.81,124.5
2019-02-08,3405.7,124.21
2019-02-15,3600.31,124.8
2019-02-22,3987.18,125.5
2019-03-01,3850.08,121.88
2019-03-08,3876.85,122.84
2019-03-15,3885.21,122.97
2019-03-22,4056.4,123.97
2019-03-29,4037.37,122.01
2019-04-05,4959.81,121.98
2019-04-12,5035.02,121.83
2019-04-19,5220.37,120.37
